receipt_no,sale_datetime,loyalty_card_no,store_location,country,item_code,department,qty,item_price,tender_type,register_no,cashier_id
POS-50197,2026-10-12 06:38:12,MEM-351,Paris - Champs-Elysees,FR,PROD-095,Sporting Goods,4,122.07,Contactless,REG-03,EMP-119
POS-50198,2026-02-03 01:00:53,,London - Oxford St,UK,PROD-092,Apparel & Fashion,2,101.05,Contactless,REG-04,EMP-104
POS-50199,2026-07-11 00:30:57,,Sydney - George St,AU,PROD-035,Sporting Goods,2,254.82,Contactless,REG-03,EMP-117
POS-50200,2026-09-14 10:42:39,,London - Oxford St,UK,PROD-027,Apparel & Fashion,2,96.49,Contactless,REG-02,EMP-109
POS-50201,2025-11-06 13:12:15,,Paris - Champs-Elysees,FR,PROD-073,Home & Living,4,90.67,Card,REG-02,EMP-122
POS-50202,2026-07-15 09:12:13,,London - Oxford St,UK,PROD-024,Books & Media,3,14.27,Cash,REG-02,EMP-130
POS-50203,2026-04-22 01:02:37,,Sydney - George St,AU,PROD-048,Home & Living,1,141.17,Contactless,REG-06,EMP-119
POS-50204,2025-11-18 14:46:09,,New York - 5th Ave,US,PROD-001,Consumer Electronics,3,655.26,Card,REG-06,EMP-111
POS-50205,2025-10-19 23:10:19,,Toronto - Downtown,CA,PROD-058,Home & Living,2,167.51,Cash,REG-02,EMP-106
POS-50206,2026-03-27 15:15:56,MEM-378,Toronto - Downtown,CA,PROD-039,Books & Media,3,38.97,Contactless,REG-03,EMP-114
POS-50207,2026-07-19 15:37:08,,London - Oxford St,UK,PROD-087,Apparel & Fashion,4,45.28,Contactless,REG-01,EMP-110
POS-50208,2025-11-14 11:46:25,MEM-359,Toronto - Downtown,CA,PROD-052,Apparel & Fashion,1,89.2,Contactless,REG-06,EMP-127
POS-50209,2026-08-24 03:18:31,MEM-116,Berlin - Mitte,DE,PROD-006,Consumer Electronics,3,659.39,Contactless,REG-05,EMP-120
POS-50210,2026-07-30 08:27:30,,Paris - Champs-Elysees,FR,PROD-060,Sporting Goods,4,276.47,Card,REG-03,EMP-125
POS-50211,2025-12-27 05:26:46,MEM-188,Toronto - Downtown,CA,PROD-097,Apparel & Fashion,3,84.9,Cash,REG-04,EMP-129
POS-50212,2026-03-24 17:01:46,,Berlin - Mitte,DE,PROD-057,Apparel & Fashion,2,114.53,Cash,REG-02,EMP-122
POS-50213,2026-07-19 08:52:27,MEM-271,Berlin - Mitte,DE,PROD-081,Consumer Electronics,2,378.83,Cash,REG-04,EMP-110
POS-50214,2026-07-14 08:41:10,,Mumbai - Bandra,IN,PROD-085,Sporting Goods,-2,260.02,Card,REG-04,EMP-122
POS-50215,2026-06-19 09:36:36,,New York - 5th Ave,US,PROD-070,Sporting Goods,4,195.98,Contactless,REG-04,EMP-104
POS-50216,2026-09-01 11:56:12,MEM-123,New York - 5th Ave,US,PROD-032,Apparel & Fashion,2,52.23,Cash,REG-01,EMP-103
POS-50217,2026-06-20 07:59:12,MEM-280,London - Oxford St,UK,PROD-026,Consumer Electronics,1,90.99,Card,REG-06,EMP-123
POS-50218,2026-04-04 14:47:37,MEM-268,Berlin - Mitte,DE,PROD-039,Books & Media,2,34.06,Contactless,REG-03,EMP-113
POS-50219,2026-09-05 23:59:05,,New York - 5th Ave,US,PROD-052,Apparel & Fashion,4,32.61,Cash,REG-06,EMP-110
POS-50220,2026-03-18 15:05:35,MEM-241,Berlin - Mitte,DE,PROD-066,Consumer Electronics,1,429.1,Cash,REG-05,EMP-106
POS-50221,2026-01-18 21:31:53,MEM-310,Mumbai - Bandra,IN,PROD-063,Home & Living,2,229.71,Cash,REG-05,EMP-115
POS-50222,2025-10-04 19:37:43,MEM-293,Paris - Champs-Elysees,FR,PROD-011,Consumer Electronics,4,649.08,Cash,REG-01,EMP-118
POS-50223,2026-08-13 21:02:32,,New York - 5th Ave,US,PROD-089,Books & Media,4,12.93,Card,REG-01,EMP-129
POS-50224,2026-04-25 09:52:06,MEM-244,New York - 5th Ave,US,PROD-075,Sporting Goods,1,277.2,Cash,REG-01,EMP-124
POS-50225,2026-02-03 03:24:36,MEM-152,Berlin - Mitte,DE,PROD-097,Apparel & Fashion,1,68.93,Contactless,REG-06,EMP-117
POS-50226,2025-10-02 13:01:35,,Mumbai - Bandra,IN,PROD-093,Home & Living,2,89.02,Card,REG-03,EMP-119
POS-50227,2026-01-10 12:45:10,,London - Oxford St,UK,PROD-021,Consumer Electronics,3,162.43,Cash,REG-06,EMP-120
POS-50228,2026-01-11 15:55:12,,Sydney - George St,AU,PROD-046,Consumer Electronics,4,415.19,Contactless,REG-05,EMP-108
POS-50229,2026-07-22 12:22:50,MEM-373,Mumbai - Bandra,IN,PROD-067,Apparel & Fashion,1,104.2,Card,REG-01,EMP-106
POS-50230,2026-07-09 05:56:17,MEM-339,Mumbai - Bandra,IN,PROD-035,Sporting Goods,1,69.36,Card,REG-04,EMP-107
POS-50231,2026-08-22 07:32:35,,Toronto - Downtown,CA,PROD-069,Books & Media,1,25.5,Card,REG-04,EMP-124
POS-50232,2025-11-16 10:14:08,MEM-191,London - Oxford St,UK,PROD-096,Consumer Electronics,2,771.46,Contactless,REG-02,EMP-114
POS-50233,2026-06-12 10:50:21,,New York - 5th Ave,US,PROD-023,Home & Living,1,25.67,Card,REG-04,EMP-118
POS-50234,2026-02-18 15:37:45,,New York - 5th Ave,US,PROD-046,Consumer Electronics,3,586.18,Contactless,REG-06,EMP-124
POS-50235,2026-07-27 05:30:30,MEM-391,Sydney - George St,AU,PROD-030,Sporting Goods,2,194.1,Cash,REG-03,EMP-113
POS-50236,2025-11-01 06:18:20,MEM-204,Toronto - Downtown,CA,PROD-017,Apparel & Fashion,2,41.0,Card,REG-02,EMP-122
POS-50237,2026-02-21 03:13:27,MEM-250,London - Oxford St,UK,PROD-008,Home & Living,3,87.97,Contactless,REG-04,EMP-124
POS-50238,2026-04-12 15:32:52,MEM-345,Mumbai - Bandra,IN,PROD-009,Books & Media,2,26.99,Card,REG-02,EMP-111
POS-50239,2026-03-28 21:30:07,MEM-206,Berlin - Mitte,DE,PROD-021,Consumer Electronics,4,161.53,Contactless,REG-06,EMP-113
POS-50240,2025-09-23 18:14:03,MEM-248,London - Oxford St,UK,PROD-031,Consumer Electronics,4,410.05,Contactless,REG-04,EMP-102
POS-50241,2026-08-15 07:06:26,,Berlin - Mitte,DE,PROD-089,Books & Media,2,9.88,Contactless,REG-02,EMP-123
POS-50242,2026-08-28 16:17:27,MEM-183,Berlin - Mitte,DE,PROD-011,Consumer Electronics,4,0.0,Contactless,REG-06,EMP-109
POS-50243,2026-03-15 10:05:32,MEM-383,Mumbai - Bandra,IN,PROD-070,Sporting Goods,1,223.72,Card,REG-04,EMP-118
POS-50244,2026-06-12 01:34:54,,Paris - Champs-Elysees,FR,PROD-026,Consumer Electronics,2,764.7,Contactless,REG-01,EMP-102
POS-50245,2026-07-17 23:40:28,,Sydney - George St,AU,PROD-043,Home & Living,3,61.17,Cash,REG-06,EMP-120
POS-50246,2026-04-27 13:42:15,MEM-110,Sydney - George St,AU,PROD-077,Apparel & Fashion,3,110.4,Cash,REG-05,EMP-103
POS-50001,2025-12-22 17:08:35,,Berlin - Mitte,DE,PROD-059,Books & Media,1,13.27,Cash,REG-01,EMP-122
POS-50248,2026-04-09 21:10:50,,Mumbai - Bandra,IN,PROD-018,Home & Living,1,135.71,Cash,REG-02,EMP-125
POS-50249,2026-02-18 15:22:55,MEM-220,Berlin - Mitte,DE,PROD-017,Apparel & Fashion,1,104.82,Cash,REG-05,EMP-115
POS-50250,2026-08-25 16:32:40,,New York - 5th Ave,US,PROD-039,Books & Media,2,40.66,Cash,REG-05,EMP-118
POS-50251,2026-06-16 10:19:35,,Berlin - Mitte,DE,PROD-011,Consumer Electronics,1,250.37,Contactless,REG-06,EMP-102
POS-50252,2025-10-18 15:05:53,,Toronto - Downtown,CA,PROD-004,Books & Media,4,10.35,Cash,REG-01,EMP-124
POS-50253,2026-04-27 06:48:05,,Mumbai - Bandra,IN,PROD-040,Sporting Goods,4,230.65,Contactless,REG-03,EMP-126
POS-50254,2025-11-03 20:55:54,MEM-294,Paris - Champs-Elysees,FR,PROD-023,Home & Living,1,143.86,Contactless,REG-01,EMP-129
POS-50255,2026-07-10 06:04:07,MEM-120,Mumbai - Bandra,IN,PROD-091,Consumer Electronics,4,534.91,Contactless,REG-02,EMP-102
POS-50256,2026-07-22 12:16:01,,London - Oxford St,UK,PROD-032,Apparel & Fashion,2,86.33,Card,REG-06,EMP-121
POS-50257,2025-10-22 21:18:58,,New York - 5th Ave,US,PROD-096,Consumer Electronics,3,119.39,Cash,REG-06,EMP-120
POS-50258,2026-09-10 07:45:27,,London - Oxford St,UK,PROD-095,Sporting Goods,4,252.64,Card,REG-03,EMP-123
POS-50259,2026-06-08 16:04:38,MEM-235,New York - 5th Ave,US,PROD-074,Books & Media,4,12.73,Cash,REG-01,EMP-119
POS-50260,2026-05-29 15:14:59,MEM-145,London - Oxford St,UK,PROD-025,Sporting Goods,1,169.1,Cash,REG-02,EMP-104
POS-50261,2026-02-26 01:20:33,MEM-368,London - Oxford St,UK,PROD-051,Consumer Electronics,3,328.78,Contactless,REG-02,EMP-112
POS-50262,2025-09-30 03:29:16,MEM-343,Mumbai - Bandra,IN,PROD-075,Sporting Goods,1,187.41,Contactless,REG-01,EMP-102
POS-50263,2026-04-24 15:04:06,MEM-238,Sydney - George St,AU,PROD-003,Home & Living,4,114.36,Card,REG-05,EMP-127
POS-50264,2026-04-14 14:18:03,,Mumbai - Bandra,IN,PROD-089,Books & Media,1,41.46,Card,REG-06,EMP-102
POS-50265,2026-08-27 15:03:04,,Berlin - Mitte,DE,PROD-097,Apparel & Fashion,2,26.63,Card,REG-01,EMP-124
POS-50266,2026-03-27 01:21:46,MEM-198,New York - 5th Ave,US,PROD-009,Books & Media,1,36.07,Contactless,REG-04,EMP-125
POS-50267,2026-04-26 01:08:42,,Paris - Champs-Elysees,FR,PROD-039,Books & Media,3,10.46,Cash,REG-04,EMP-123
POS-50268,2026-05-16 13:01:36,MEM-178,Sydney - George St,AU,PROD-045,Sporting Goods,2,214.29,Card,REG-04,EMP-102
POS-50269,2026-03-06 03:19:13,MEM-264,London - Oxford St,UK,PROD-009,Books & Media,3,40.08,Card,REG-06,EMP-121
POS-50270,2026-01-02 00:14:11,,Paris - Champs-Elysees,FR,PROD-046,Consumer Electronics,4,155.29,Card,REG-05,EMP-109
POS-50271,2026-06-16 05:28:04,MEM-122,New York - 5th Ave,US,PROD-037,Apparel & Fashion,1,117.57,Contactless,REG-01,EMP-119
POS-50272,2025-12-09 00:48:39,MEM-295,Berlin - Mitte,DE,PROD-029,Books & Media,1,27.01,Contactless,REG-05,EMP-114
POS-50273,2026-07-04 18:21:52,,London - Oxford St,UK,PROD-072,Apparel & Fashion,1,55.9,Card,REG-02,EMP-125
POS-50274,2025-11-30 12:26:43,,London - Oxford St,UK,PROD-078,Home & Living,1,139.47,Contactless,REG-03,EMP-104
POS-50275,2025-10-14 16:11:27,MEM-358,Berlin - Mitte,DE,PROD-082,Apparel & Fashion,1,78.65,Contactless,REG-06,EMP-116
POS-50276,2026-09-01 15:59:13,MEM-166,Mumbai - Bandra,IN,PROD-036,Consumer Electronics,1,608.27,Contactless,REG-02,EMP-124
POS-50277,2026-02-02 20:49:11,MEM-229,Mumbai - Bandra,IN,PROD-065,Sporting Goods,3,165.62,Contactless,REG-05,EMP-110
POS-50278,2026-01-23 14:10:55,MEM-114,Sydney - George St,AU,PROD-029,Books & Media,2,43.2,Contactless,REG-03,EMP-120
POS-50279,2025-11-27 03:18:52,,Paris - Champs-Elysees,FR,PROD-079,Books & Media,2,36.64,Cash,REG-03,EMP-114
POS-50280,2026-06-11 09:16:13,,Toronto - Downtown,CA,PROD-064,Books & Media,4,35.84,Card,REG-04,EMP-130
POS-50281,2026-02-01 14:49:03,,Paris - Champs-Elysees,FR,PROD-064,Books & Media,3,11.05,Cash,REG-01,EMP-128
POS-50282,2026-01-05 18:59:27,MEM-366,Toronto - Downtown,CA,PROD-084,Books & Media,3,8.65,Card,REG-03,EMP-115
POS-50283,2025-11-22 00:31:01,,London - Oxford St,UK,PROD-084,Books & Media,3,13.21,Card,REG-06,EMP-107
POS-50284,2026-01-01 08:04:47,MEM-126,Paris - Champs-Elysees,FR,PROD-079,Books & Media,1,32.3,Card,REG-06,EMP-107
POS-50285,2026-03-10 17:38:02,MEM-203,Paris - Champs-Elysees,FR,PROD-055,Sporting Goods,3,286.85,Card,REG-05,EMP-111
POS-50286,2026-02-15 08:18:11,,London - Oxford St,UK,PROD-099,Books & Media,4,11.23,Card,REG-03,EMP-124
POS-50287,2026-07-03 11:01:26,MEM-362,Toronto - Downtown,CA,PROD-039,Books & Media,3,23.42,Contactless,REG-01,EMP-101
POS-50288,2026-05-16 19:29:59,MEM-382,Toronto - Downtown,CA,PROD-036,Consumer Electronics,4,442.63,Contactless,REG-03,EMP-115
POS-50289,2025-11-02 05:02:27,,Paris - Champs-Elysees,FR,PROD-041,Consumer Electronics,2,320.64,Contactless,REG-05,EMP-123
POS-50290,2026-05-26 15:50:02,,Berlin - Mitte,DE,PROD-047,Apparel & Fashion,3,46.06,Contactless,REG-03,EMP-104
POS-50291,2026-03-27 16:01:06,,Berlin - Mitte,DE,PROD-044,Books & Media,2,13.08,Card,REG-01,EMP-125
POS-50292,2026-08-18 03:19:41,,Paris - Champs-Elysees,FR,PROD-082,Apparel & Fashion,4,27.04,Contactless,REG-04,EMP-123
POS-50293,2026-01-17 07:02:15,MEM-266,Toronto - Downtown,CA,PROD-097,Apparel & Fashion,2,119.38,Cash,REG-01,EMP-115
POS-50294,2026-07-31 01:51:21,,Toronto - Downtown,CA,PROD-009,Books & Media,2,32.13,Cash,REG-05,EMP-110
POS-50295,2026-03-01 02:11:02,MEM-106,Mumbai - Bandra,IN,PROD-040,Sporting Goods,4,258.77,Cash,REG-03,EMP-109
POS-50296,2026-08-23 22:12:07,,Sydney - George St,AU,PROD-023,Home & Living,4,161.08,Card,REG-04,EMP-124
POS-50297,2025-12-02 08:07:51,MEM-362,Mumbai - Bandra,IN,PROD-054,Books & Media,3,19.46,Contactless,REG-04,EMP-104
POS-50298,2026-02-14 05:51:56,MEM-381,New York - 5th Ave,US,PROD-078,Home & Living,4,209.24,Cash,REG-01,EMP-118
POS-50299,2025-11-23 07:18:27,MEM-349,Paris - Champs-Elysees,FR,PROD-086,Consumer Electronics,2,380.1,Cash,REG-04,EMP-108
POS-50300,2026-04-10 08:06:45,MEM-327,New York - 5th Ave,US,PROD-052,Apparel & Fashion,3,16.35,Cash,REG-04,EMP-103
POS-50301,2026-06-30 03:31:25,,Berlin - Mitte,DE,PROD-082,Apparel & Fashion,4,93.9,Cash,REG-03,EMP-122
POS-50001,2026-07-03 03:52:09,MEM-143,Paris - Champs-Elysees,FR,PROD-029,Books & Media,2,40.0,Contactless,REG-05,EMP-105
POS-50303,2026-05-02 05:03:40,,Berlin - Mitte,DE,PROD-033,Home & Living,1,121.26,Card,REG-03,EMP-104
POS-50304,2026-05-13 04:38:17,MEM-298,Toronto - Downtown,CA,PROD-099,Books & Media,1,34.8,Contactless,REG-04,EMP-130
POS-50305,2025-10-04 09:21:07,,Paris - Champs-Elysees,FR,PROD-081,Consumer Electronics,4,152.81,Card,REG-01,EMP-124
POS-50306,2025-09-21 01:23:39,,New York - 5th Ave,US,PROD-020,Sporting Goods,1,49.05,Cash,REG-01,EMP-106
POS-50307,2026-03-27 02:58:00,MEM-170,Berlin - Mitte,DE,PROD-031,Consumer Electronics,2,546.82,Cash,REG-03,EMP-118
POS-50308,2026-04-14 13:34:00,,Mumbai - Bandra,IN,PROD-039,Books & Media,1,14.51,Contactless,REG-06,EMP-125
POS-50309,2025-12-15 09:03:07,,Berlin - Mitte,DE,PROD-045,Sporting Goods,2,217.4,Cash,REG-02,EMP-109
POS-50310,2026-08-01 03:38:28,MEM-214,Mumbai - Bandra,IN,PROD-019,Books & Media,1,11.41,Contactless,REG-05,EMP-112
POS-50311,2026-07-25 20:14:32,,Mumbai - Bandra,IN,PROD-096,Consumer Electronics,3,192.47,Contactless,REG-02,EMP-124
POS-50312,2026-01-18 22:28:13,MEM-322,New York - 5th Ave,US,PROD-045,Sporting Goods,2,62.4,Card,REG-05,EMP-127
POS-50313,2026-02-14 11:17:00,MEM-110,Berlin - Mitte,DE,PROD-060,Sporting Goods,2,125.14,Card,REG-06,EMP-102
POS-50314,2025-10-11 06:56:03,,Toronto - Downtown,CA,PROD-019,Books & Media,3,42.09,Card,REG-05,EMP-117
POS-50315,2026-02-18 17:35:11,MEM-156,Mumbai - Bandra,IN,PROD-024,Books & Media,4,22.38,Contactless,REG-05,EMP-117
POS-50316,2025-10-08 07:52:08,MEM-159,Sydney - George St,AU,PROD-089,Books & Media,4,8.29,Card,REG-06,EMP-121
POS-50317,2026-03-10 15:25:18,,Mumbai - Bandra,IN,PROD-048,Home & Living,2,238.0,Card,REG-01,EMP-106
POS-50318,2026-01-24 14:35:44,MEM-127,Berlin - Mitte,XX,PROD-093,Home & Living,2,83.0,Card,REG-02,EMP-108
POS-50319,2025-10-11 09:53:51,MEM-253,Toronto - Downtown,CA,PROD-030,Sporting Goods,3,294.92,Contactless,REG-03,EMP-123
POS-50320,2026-01-23 12:21:32,MEM-296,Paris - Champs-Elysees,FR,PROD-100,Sporting Goods,1,233.99,Cash,REG-01,EMP-104
POS-50321,2025-10-16 04:14:38,MEM-202,London - Oxford St,UK,PROD-034,Books & Media,3,31.56,Cash,REG-03,EMP-108
POS-50322,2025-12-19 02:48:53,,New York - 5th Ave,US,PROD-097,Apparel & Fashion,1,33.61,Cash,REG-04,EMP-129
POS-50323,2025-10-05 20:31:12,,Berlin - Mitte,DE,PROD-003,Home & Living,3,52.29,Cash,REG-02,EMP-113
POS-50324,2025-11-22 01:18:30,,Berlin - Mitte,DE,PROD-089,Books & Media,1,35.3,Contactless,REG-04,EMP-108
POS-50325,2025-12-07 21:01:13,MEM-371,Mumbai - Bandra,IN,PROD-044,Books & Media,1,10.43,Cash,REG-02,EMP-118
POS-50326,2026-06-11 21:33:42,,New York - 5th Ave,US,PROD-090,Sporting Goods,4,269.61,Card,REG-04,EMP-127
POS-50327,2025-12-19 15:52:59,MEM-314,New York - 5th Ave,US,PROD-016,Consumer Electronics,4,235.55,Contactless,REG-03,EMP-124
POS-50328,2026-09-03 00:37:45,MEM-271,London - Oxford St,UK,PROD-019,Books & Media,3,23.56,Cash,REG-04,EMP-111
POS-50329,2025-10-24 22:59:51,MEM-370,Toronto - Downtown,CA,PROD-057,Apparel & Fashion,3,117.05,Contactless,REG-05,EMP-107
POS-50330,2025-09-17 11:12:22,MEM-234,New York - 5th Ave,US,PROD-076,Consumer Electronics,2,206.57,Contactless,REG-05,EMP-129
POS-50331,2026-04-09 08:21:18,MEM-308,Paris - Champs-Elysees,FR,PROD-014,Books & Media,3,33.21,Contactless,REG-02,EMP-123
POS-50332,2026-06-12 11:10:35,,Mumbai - Bandra,IN,PROD-040,Sporting Goods,3,247.66,Card,REG-06,EMP-122
POS-50333,2026-02-20 09:09:44,MEM-376,New York - 5th Ave,US,PROD-025,Sporting Goods,1,94.66,Card,REG-02,EMP-103
POS-50334,2026-08-20 00:41:04,MEM-193,London - Oxford St,UK,PROD-007,Apparel & Fashion,2,76.26,Cash,REG-06,EMP-128
POS-50335,2026-08-16 23:53:36,,London - Oxford St,UK,PROD-055,Sporting Goods,1,294.29,Contactless,REG-06,EMP-128
POS-50336,2025-12-17 04:48:08,MEM-314,London - Oxford St,UK,PROD-098,Home & Living,4,126.81,Card,REG-06,EMP-120
POS-50337,2026-09-07 12:45:28,,New York - 5th Ave,US,PROD-053,Home & Living,3,162.56,Card,REG-06,EMP-119
POS-50338,2026-03-20 04:06:13,MEM-184,Toronto - Downtown,CA,PROD-032,Apparel & Fashion,3,117.2,Cash,REG-06,EMP-102
POS-50339,2025-11-01 01:11:37,MEM-357,Mumbai - Bandra,IN,PROD-049,Books & Media,3,20.6,Card,REG-01,EMP-105
POS-50340,2026-08-06 13:17:16,,London - Oxford St,XX,PROD-047,Apparel & Fashion,2,56.25,Card,REG-02,EMP-120
POS-50341,2025-09-27 03:22:08,MEM-352,New York - 5th Ave,US,PROD-096,Consumer Electronics,4,270.6,Card,REG-06,EMP-118
POS-50342,2026-08-24 00:40:14,,Berlin - Mitte,DE,PROD-044,Books & Media,1,17.33,Contactless,REG-01,EMP-117
POS-50343,2026-05-09 11:13:15,,New York - 5th Ave,US,PROD-084,Books & Media,2,41.62,Cash,REG-01,EMP-101
POS-50344,2026-05-06 17:46:51,MEM-180,London - Oxford St,UK,PROD-084,Books & Media,1,14.56,Cash,REG-06,EMP-110
POS-50345,2025-12-02 09:05:15,MEM-152,Sydney - George St,AU,PROD-023,Home & Living,2,53.82,Cash,REG-04,EMP-101
POS-50346,2026-07-20 16:31:43,MEM-277,New York - 5th Ave,US,PROD-087,Apparel & Fashion,2,56.44,Contactless,REG-03,EMP-121
POS-50347,2025-11-07 03:25:16,,Paris - Champs-Elysees,FR,PROD-077,Apparel & Fashion,2,30.84,Card,REG-04,EMP-107
POS-50348,2026-02-19 22:08:01,,Sydney - George St,AU,PROD-028,Home & Living,1,187.35,Contactless,REG-05,EMP-108
POS-50349,2026-05-27 16:29:38,MEM-145,London - Oxford St,UK,PROD-047,Apparel & Fashion,3,96.69,Cash,REG-03,EMP-122
POS-50350,2026-06-01 08:40:00,,Paris - Champs-Elysees,FR,PROD-054,Books & Media,1,9.58,Contactless,REG-06,EMP-125
POS-50351,2026-06-10 09:47:01,MEM-382,Mumbai - Bandra,IN,PROD-033,Home & Living,1,185.92,Card,REG-03,EMP-127
POS-50352,2025-09-18 13:32:30,,Mumbai - Bandra,IN,PROD-048,Home & Living,4,46.42,Cash,REG-01,EMP-128
POS-50353,2026-09-08 23:57:36,MEM-167,Toronto - Downtown,CA,PROD-087,Apparel & Fashion,3,91.16,Contactless,REG-05,EMP-104
POS-50354,2026-09-04 02:58:04,MEM-235,Berlin - Mitte,DE,PROD-048,Home & Living,3,129.14,Contactless,REG-06,EMP-107
POS-50355,2025-09-15 15:11:57,,Paris - Champs-Elysees,FR,PROD-074,Books & Media,3,27.58,Contactless,REG-05,EMP-105
POS-50356,2026-07-14 22:04:39,MEM-121,Paris - Champs-Elysees,FR,PROD-078,Home & Living,1,148.53,Cash,REG-05,EMP-103
POS-50357,2026-03-25 12:09:20,,Sydney - George St,AU,PROD-089,Books & Media,1,9.42,Contactless,REG-02,EMP-116
POS-50358,2026-09-07 02:14:50,,Berlin - Mitte,DE,PROD-037,Apparel & Fashion,4,59.93,Cash,REG-05,EMP-121
POS-50359,2026-05-04 12:41:56,,London - Oxford St,UK,PROD-070,Sporting Goods,3,194.34,Card,REG-04,EMP-120
POS-50360,2026-07-08 04:35:54,MEM-259,London - Oxford St,UK,PROD-074,Books & Media,2,22.61,Card,REG-02,EMP-115
POS-50361,2026-06-17 03:24:52,MEM-177,Paris - Champs-Elysees,FR,PROD-026,Consumer Electronics,4,223.44,Cash,REG-04,EMP-128
POS-50362,2025-10-02 07:06:26,,Sydney - George St,AU,PROD-017,Apparel & Fashion,3,48.82,Contactless,REG-06,EMP-130
POS-50363,2026-04-23 07:08:33,,Sydney - George St,AU,PROD-034,Books & Media,2,12.86,Card,REG-03,EMP-108
POS-50364,2026-02-01 12:51:15,,New York - 5th Ave,US,PROD-071,Consumer Electronics,-1,570.62,Cash,REG-06,EMP-126
POS-50365,2026-08-05 11:00:30,,Berlin - Mitte,DE,PROD-043,Home & Living,1,61.61,Cash,REG-03,EMP-129
POS-50001,2025-11-06 18:35:54,MEM-255,London - Oxford St,UK,PROD-066,Consumer Electronics,4,303.47,Card,REG-05,EMP-119
POS-50367,2025-12-28 15:05:02,,Paris - Champs-Elysees,FR,PROD-042,Apparel & Fashion,4,79.6,Card,REG-01,EMP-123
POS-50368,2026-02-23 17:44:31,MEM-161,Sydney - George St,AU,PROD-014,Books & Media,4,23.82,Card,REG-03,EMP-113
POS-50369,2025-10-04 16:31:40,,London - Oxford St,UK,PROD-032,Apparel & Fashion,1,23.04,Cash,REG-01,EMP-122
POS-50370,2025-11-01 06:14:56,MEM-393,Toronto - Downtown,CA,PROD-034,Books & Media,1,17.13,Cash,REG-04,EMP-125
POS-50371,2025-10-31 10:39:41,MEM-285,New York - 5th Ave,US,PROD-001,Consumer Electronics,4,736.52,Contactless,REG-06,EMP-118
POS-50372,2026-08-12 23:36:42,MEM-123,Sydney - George St,AU,PROD-051,Consumer Electronics,4,466.27,Contactless,REG-02,EMP-115
POS-50373,2026-03-17 22:40:23,MEM-390,Toronto - Downtown,CA,PROD-043,Home & Living,2,136.56,Contactless,REG-03,EMP-102
POS-50374,2026-06-19 18:57:49,,Toronto - Downtown,CA,PROD-093,Home & Living,2,239.02,Cash,REG-05,EMP-127
POS-50375,2025-11-09 20:50:09,,Sydney - George St,AU,PROD-079,Books & Media,4,15.1,Card,REG-03,EMP-112
POS-50376,2025-12-26 14:22:25,MEM-266,New York - 5th Ave,US,PROD-100,Sporting Goods,4,251.19,Cash,REG-01,EMP-128
POS-50377,2026-08-01 17:30:38,MEM-126,New York - 5th Ave,US,PROD-030,Sporting Goods,1,160.88,Cash,REG-02,EMP-115
POS-50378,2026-04-12 16:10:24,MEM-362,Paris - Champs-Elysees,FR,PROD-036,Consumer Electronics,3,520.26,Cash,REG-04,EMP-112
POS-50379,2026-02-07 10:00:45,,Mumbai - Bandra,IN,PROD-019,Books & Media,1,14.73,Cash,REG-03,EMP-109
POS-50380,2026-04-17 18:04:26,,Toronto - Downtown,CA,PROD-092,Apparel & Fashion,3,44.44,Contactless,REG-04,EMP-130
POS-50381,2025-12-05 08:13:27,,Paris - Champs-Elysees,FR,PROD-087,Apparel & Fashion,2,80.25,Contactless,REG-06,EMP-115
POS-50382,2026-02-10 10:29:53,MEM-371,Sydney - George St,AU,PROD-040,Sporting Goods,4,95.14,Contactless,REG-02,EMP-105
POS-50383,2026-07-10 19:55:43,MEM-203,London - Oxford St,UK,PROD-099,Books & Media,3,37.92,Card,REG-05,EMP-124
POS-50384,2025-10-01 07:28:22,MEM-340,Paris - Champs-Elysees,FR,PROD-053,Home & Living,2,181.42,Contactless,REG-05,EMP-109
POS-50385,2026-04-02 10:36:17,MEM-115,Berlin - Mitte,XX,PROD-091,Consumer Electronics,1,281.14,Contactless,REG-05,EMP-122
POS-50386,2026-02-06 15:58:06,,London - Oxford St,XX,PROD-006,Consumer Electronics,2,365.75,Cash,REG-05,EMP-129
POS-50387,2026-09-07 07:52:00,MEM-363,New York - 5th Ave,US,PROD-081,Consumer Electronics,1,493.83,Contactless,REG-01,EMP-107
POS-50388,2025-10-18 11:48:18,MEM-188,Berlin - Mitte,DE,PROD-088,Home & Living,1,117.61,Contactless,REG-01,EMP-126
POS-50389,2026-08-21 15:50:31,MEM-146,Paris - Champs-Elysees,FR,PROD-069,Books & Media,1,43.29,Card,REG-05,EMP-104
POS-50390,2025-10-15 03:22:53,MEM-218,New York - 5th Ave,US,PROD-018,Home & Living,3,110.35,Card,REG-05,EMP-122
POS-50391,2026-02-03 04:21:29,MEM-145,Mumbai - Bandra,IN,PROD-035,Sporting Goods,2,206.43,Contactless,REG-02,EMP-128
POS-50392,2025-11-25 12:02:09,MEM-346,London - Oxford St,UK,PROD-034,Books & Media,2,25.31,Contactless,REG-05,EMP-120
POS-50001,2026-07-22 15:04:55,MEM-359,Berlin - Mitte,DE,PROD-078,Home & Living,2,207.14,Contactless,REG-02,EMP-118
POS-50394,2026-08-04 23:14:46,MEM-315,London - Oxford St,UK,PROD-066,Consumer Electronics,3,126.85,Cash,REG-01,EMP-104
